Date,Price,Open,High,Low,,
11/17/2024,123.8587,121.4654,123.8587,121.4654,,
11/10/2024,121.2884,123.2507,123.9567,121.7004,,
11/3/2024,120.7507,122.7902,123.8231,120.95,,
10/27/2024,120.2902,122.0504,122.96,120.1415,,
10/20/2024,119.5504,120.2263,122.0504,118.2119,,
10/13/2024,117.582,120.136,121.1369,118.16,,
10/6/2024,120.136,119.4661,122.636,119.4661,,
9/29/2024,119.4661,117.7532,121.107,116.9366,,
9/22/2024,117.7532,119.2164,120.397,117.7532,,
9/15/2024,119.2164,113.884,119.2222,113.884,,
9/8/2024,113.884,113.6494,117.1652,113.0167,,
9/1/2024,113.6494,111.0682,114.7777,111.0146,,
8/25/2024,111.0682,110.9495,113.6483,110.0757,,
8/18/2024,110.9495,109.441,110.9495,108.9895,,
8/11/2024,109.441,103.1196,110.6005,103.1196,,
8/4/2024,103.1196,80.4352,106.7366,80.4352,,
7/28/2024,80.5,57.813,80.9849,57.813,,
7/21/2024,57.4895,57.7933,57.8159,57.7224,,
7/14/2024,57.4499,57.7723,57.7933,57.6632,,
7/7/2024,57.4079,57.7533,57.7752,57.6624,,
6/30/2024,57.3701,57.7315,57.7562,57.322,,
6/23/2024,57.3265,57.701,57.7345,57.5274,,
6/16/2024,57.701,57.6657,57.7038,57.3838,,
6/9/2024,57.6657,57.5075,57.6657,57.4,,
6/2/2024,57.1246,57.4703,57.5103,56.9138,,
5/26/2024,57.0504,57.4578,57.4733,57.075,,
5/19/2024,57.4578,57.4395,57.4607,57.05,,
5/12/2024,57.4395,57.3988,57.4425,57.19,,
5/5/2024,57.4202,57.4048,57.4231,56.8415,,
4/28/2024,57.4048,57.3903,57.4048,56.875,,
4/21/2024,57.3903,56.923,57.3903,56.8778,,
4/14/2024,56.8204,56.8843,57.1602,56.8377,,
4/7/2024,56.7432,56.8554,57.0466,56.8128,,
3/31/2024,56.6853,56.8246,57.0426,56.65,,
3/24/2024,56.6236,56.805,57.0118,56.7627,,
3/17/2024,56.5845,56.7864,56.9173,56.6481,,
3/10/2024,56.5472,56.7668,56.8486,56.7386,,
3/3/2024,56.5082,56.7485,56.8291,56.7127,,
2/25/2024,56.4715,56.7152,56.8,56.6974,,
2/18/2024,56.4049,56.6822,56.718,56.4889,,
2/11/2024,56.3389,56.6445,56.6851,56.534,,
2/4/2024,56.2635,56.6091,56.6474,56.475,,
1/28/2024,56.1927,56.5866,56.617,56.4,,
1/21/2024,56.5866,56.5698,56.5895,56.35,,
1/14/2024,56.5698,56.5549,56.5727,56.3459,,
1/7/2024,56.5549,56.5255,56.5549,56.3,,
12/31/2023,56.5255,56.3266,56.5378,56.135,,
12/24/2023,55.9969,56.2889,56.3295,56.125,,
12/17/2023,55.9214,56.2525,56.3107,56.0968,,
12/10/2023,55.8487,56.2149,56.2583,55.77,,
12/3/2023,56.2149,56.1832,56.2178,55.7,,
11/26/2023,56.1832,56.1639,56.1832,55.67,,
11/19/2023,56.1639,55.9288,56.1639,55.575,,
11/12/2023,55.6353,55.8028,55.9316,55.5416,,
11/5/2023,55.5969,55.8918,55.9124,55.49,,
10/29/2023,55.5613,55.8586,55.8946,55.45,,
10/22/2023,55.4947,55.8231,55.8642,55.4,,
10/15/2023,55.4237,55.6418,55.8259,55.35,,
10/8/2023,55.7882,55.7486,55.791,55.275,,
10/1/2023,55.7486,55.7224,55.7486,55.225,,
9/24/2023,55.7224,55.3063,55.7224,55.24,,
9/17/2023,55.1992,55.29,55.4752,55.175,,
9/10/2023,55.1666,55.2762,55.4308,55.15,,
9/3/2023,55.1391,55.2583,55.4148,55.01,,
8/27/2023,55.1032,55.2247,55.3787,55.2021,,
8/20/2023,55.0361,55.1873,55.3024,54.94,,
8/13/2023,54.9613,55.1516,55.2361,54.85,,
8/6/2023,54.8899,55.114,55.1643,55.0873,,
7/30/2023,54.8147,55.0825,55.1167,54.75,,
7/23/2023,54.7517,55.0639,55.0961,54.705,,
7/16/2023,54.7145,54.9568,55.0765,54.66,,
7/9/2023,54.6735,55.0251,55.1097,54.6,,
7/2/2023,54.6369,55.0038,55.044,54.52,,
6/25/2023,55.0038,54.9762,55.1073,54.53,,
6/18/2023,54.9762,54.9408,54.9928,54.44,,
6/11/2023,54.9408,54.6526,54.9472,54.4,,
6/4/2023,54.4025,54.617,54.7972,54.345,,
5/28/2023,54.3312,54.5931,54.7412,54.275,,
5/21/2023,54.2835,54.5787,54.6929,54.24,,
5/14/2023,54.2547,54.5619,54.6589,54.21,,
5/7/2023,54.2211,54.4677,54.658,54.205,,
4/30/2023,54.1929,54.5362,54.6013,54.14,,
4/23/2023,54.1696,54.4939,54.5625,54.06,,
4/16/2023,54.4939,54.4661,54.577,54,,
4/9/2023,54.4661,54.2546,54.5675,53.97,,
4/2/2023,54.4296,54.4027,54.4385,53.9,,
3/26/2023,54.4027,53.861,54.4971,53.8251,,
3/19/2023,53.8704,53.8404,54.1401,53.8063,,
3/12/2023,53.73,53.8234,54.1202,53.725,,
3/5/2023,53.7966,53.7775,54.0656,53.705,,
2/26/2023,53.7579,53.784,54.0453,53.7,,
2/19/2023,53.7176,53.7523,54.0274,53.625,,
2/12/2023,53.6543,53.7108,53.9809,53.575,,
2/5/2023,53.5819,53.6837,53.8498,53.5,,
1/29/2023,53.5171,53.654,53.7847,53.455,,
1/22/2023,53.4577,53.638,53.7584,53.475,,
1/15/2023,53.4257,53.6255,53.8129,53.5636,,
1/8/2023,53.4006,53.6115,53.8753,53.5751,,
1/1/2023,53.3728,53.5945,54.0058,53.5787,,
12/25/2022,53.3387,53.5622,53.7453,53.5491,,
12/18/2022,53.2742,53.5249,53.6371,53.4572,,
12/11/2022,53.1996,53.491,53.5596,53.3368,,
12/4/2022,53.1316,53.4557,53.529,53.3041,,
11/27/2022,53.061,53.4318,53.541,52.975,,
11/20/2022,53.4318,53.4137,53.4861,52.925,,
11/13/2022,53.4137,53.3968,53.4165,52.875,,
11/6/2022,53.3968,53.3783,53.4137,52.85,,
10/30/2022,53.3783,53.3553,53.381,52.875,,
10/23/2022,53.3553,52.945,53.3553,52.75,,
10/16/2022,52.7964,52.9102,53.0604,52.72,,
10/9/2022,52.7267,52.8775,53.2215,52.6,,
10/2/2022,52.6614,52.8415,52.9247,52.55,,
9/25/2022,52.5893,52.8292,52.9018,52.525,,
9/18/2022,52.5646,52.8147,52.9566,52.49,,
9/11/2022,52.5357,52.7992,52.9878,52.49,,
9/4/2022,52.5047,52.7837,52.9274,52.5,,
8/28/2022,52.4738,52.7554,52.9099,52.4,,
8/21/2022,52.4171,52.7232,52.8571,52.35,,
8/14/2022,52.3527,52.6866,52.7751,52.23,,
8/7/2022,52.6866,52.6537,52.73,52.2,,
7/31/2022,52.6537,52.6182,52.6858,52.125,,
7/24/2022,52.6182,52.601,52.6326,52.075,,
7/17/2022,52.601,52.1945,52.6137,52.1541,,
7/10/2022,52.0734,52.1749,52.329,52.1489,,
7/3/2022,52.0344,52.1575,52.2946,52.1388,,
6/26/2022,51.9995,52.0965,52.3441,51.8957,,
6/19/2022,51.9169,52.0698,52.2859,51.8786,,
6/12/2022,51.824,52.0195,52.0831,51.7528,,
6/5/2022,51.7235,51.9729,52.0247,51.64,,
5/29/2022,51.6302,51.9339,52.051,51.56,,
5/22/2022,51.5523,51.9115,51.9391,51.515,,
5/15/2022,51.9115,51.7312,51.9823,51.49,,
5/8/2022,51.8915,51.8694,51.9119,51.4,,
5/1/2022,51.8694,51.8573,51.9357,51.35,,
4/24/2022,51.8573,51.8155,51.8652,51.27,,
4/17/2022,51.297,51.4804,51.6716,51.225,,
4/10/2022,51.213,51.4268,51.5827,51.125,,
4/3/2022,51.1056,51.3785,51.5113,51.075,,
3/27/2022,51.0091,51.3494,51.3811,50.975,,
3/20/2022,51.3494,51.3245,51.3521,50.9,,
3/13/2022,51.3245,51.3018,51.416,50.865,,
3/6/2022,51.3018,51.0708,51.3045,50.825,,
2/27/2022,51.2762,51.2573,51.305,50.78,,
2/20/2022,51.2573,50.8093,51.3161,50.6,,
2/13/2022,50.6187,50.5717,51.0158,50.3217,,
2/6/2022,50.3236,50.5136,50.7467,50.1337,,
1/30/2022,50.5136,49.8354,50.5136,49.8,,
1/23/2022,49.7684,49.7524,50.0434,49.63,,
1/16/2022,49.6025,49.7063,49.8505,49.5723,,
1/9/2022,49.4752,49.6101,49.7226,49.3718,,
1/2/2022,49.3177,49.548,49.7108,49.2858,,
12/26/2021,49.1936,49.4024,49.6851,48.9,,
12/19/2021,49.4024,48.8307,49.4024,48.575,,
12/12/2021,48.6125,48.6863,48.8331,48.3,,
12/5/2021,48.6863,48.5488,48.6912,48.125,,
11/28/2021,48.5488,48.1963,48.5488,47.8999,,
11/21/2021,48.1963,48.1237,48.2163,47.8988,,
11/14/2021,48.1237,47.5897,48.1544,47.5897,,
11/7/2021,47.5201,47.5154,47.744,47.25,,
10/31/2021,47.3716,47.4389,47.6883,47.175,,
10/24/2021,47.2184,47.2952,47.4412,46.925,,
10/17/2021,47.2952,47.1842,47.2999,46.625,,
